REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
SOUTHERN REGION,CHIRADZULU,Aaron Davies Chester KATSONGA,CCP,#975D2A,165
SOUTHERN REGION,CHIRADZULU,Mark KATSONGA PHIRI,PPM,#C00000,279
SOUTHERN REGION,CHIRADZULU,Atupele MULUZI,UDF,#FCF600,18449
SOUTHERN REGION,CHIRADZULU,Prof. Peter MUTHARIKA,DPP,#00B0F0,94717
SOUTHERN REGION,CHIRADZULU,George NNENSA,MAFUNDE,#948A54,345
SOUTHERN REGION,CHIRADZULU,James Mbowe NYONDO,NASAF,#948A54,156
SOUTHERN REGION,CHIRADZULU,Abusa Helen SINGH,UIP,#948A54,235
SOUTHERN REGION,BLANTYRE,Dr. Joyce Hilda BANDA,PP,#FF6400,39612
SOUTHERN REGION,BLANTYRE,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,27017
SOUTHERN REGION,BLANTYRE,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,670
SOUTHERN REGION,BLANTYRE,Prof. John CHISI,UP,#948A54,618
SOUTHERN REGION,BLANTYRE,Friday Anderson JUMBE,NLP,#948A54,412
SOUTHERN REGION,BLANTYRE,Aaron Davies Chester KATSONGA,CCP,#975D2A,458
SOUTHERN REGION,BLANTYRE,Mark KATSONGA PHIRI,PPM,#C00000,1031
SOUTHERN REGION,BLANTYRE,Atupele MULUZI,UDF,#FCF600,68092
SOUTHERN REGION,BLANTYRE,Prof. Peter MUTHARIKA,DPP,#00B0F0,225185
SOUTHERN REGION,BLANTYRE,George NNENSA,MAFUNDE,#948A54,529
SOUTHERN REGION,BLANTYRE,James Mbowe NYONDO,NASAF,#948A54,445
SOUTHERN REGION,BLANTYRE,Abusa Helen SINGH,UIP,#948A54,539
SOUTHERN REGION,MWANZA,Dr. Joyce Hilda BANDA,PP,#FF6400,7517
SOUTHERN REGION,MWANZA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,937
SOUTHERN REGION,MWANZA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,212
SOUTHERN REGION,MWANZA,Prof. John CHISI,UP,#948A54,109
SOUTHERN REGION,MWANZA,Friday Anderson JUMBE,NLP,#948A54,102
SOUTHERN REGION,MWANZA,Aaron Davies Chester KATSONGA,CCP,#975D2A,2099
SOUTHERN REGION,MWANZA,Mark KATSONGA PHIRI,PPM,#C00000,139
SOUTHERN REGION,MWANZA,Atupele MULUZI,UDF,#FCF600,2773
SOUTHERN REGION,MWANZA,Prof. Peter MUTHARIKA,DPP,#00B0F0,20737
SOUTHERN REGION,MWANZA,George NNENSA,MAFUNDE,#948A54,99
SOUTHERN REGION,MWANZA,James Mbowe NYONDO,NASAF,#948A54,41
SOUTHERN REGION,MWANZA,Abusa Helen SINGH,UIP,#948A54,64
SOUTHERN REGION,NENO,Dr. Joyce Hilda BANDA,PP,#FF6400,7288
SOUTHERN REGION,NENO,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,1148
SOUTHERN REGION,NENO,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,199
SOUTHERN REGION,NENO,Prof. John CHISI,UP,#948A54,171
SOUTHERN REGION,NENO,Friday Anderson JUMBE,NLP,#948A54,134
SOUTHERN REGION,NENO,Aaron Davies Chester KATSONGA,CCP,#975D2A,188
SOUTHERN REGION,NENO,Mark KATSONGA PHIRI,PPM,#C00000,1205
SOUTHERN REGION,NENO,Atupele MULUZI,UDF,#FCF600,2204
SOUTHERN REGION,NENO,Prof. Peter MUTHARIKA,DPP,#00B0F0,27759
SOUTHERN REGION,NENO,George NNENSA,MAFUNDE,#948A54,126
SOUTHERN REGION,NENO,James Mbowe NYONDO,NASAF,#948A54,54
SOUTHERN REGION,NENO,Abusa Helen SINGH,UIP,#948A54,74
SOUTHERN REGION,THYOLO,Dr. Joyce Hilda BANDA,PP,#FF6400,8233
SOUTHERN REGION,THYOLO,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,2681
SOUTHERN REGION,THYOLO,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,534
SOUTHERN REGION,THYOLO,Prof. John CHISI,UP,#948A54,381
SOUTHERN REGION,THYOLO,Friday Anderson JUMBE,NLP,#948A54,331
SOUTHERN REGION,THYOLO,Aaron Davies Chester KATSONGA,CCP,#975D2A,212
SOUTHERN REGION,THYOLO,Mark KATSONGA PHIRI,PPM,#C00000,322
SOUTHERN REGION,THYOLO,Atupele MULUZI,UDF,#FCF600,6798
SOUTHERN REGION,THYOLO,Prof. Peter MUTHARIKA,DPP,#00B0F0,212843
SOUTHERN REGION,THYOLO,George NNENSA,MAFUNDE,#948A54,707
SOUTHERN REGION,THYOLO,James Mbowe NYONDO,NASAF,#948A54,234
SOUTHERN REGION,THYOLO,Abusa Helen SINGH,UIP,#948A54,273
SOUTHERN REGION,PHALOMBE,Dr. Joyce Hilda BANDA,PP,#FF6400,14596
SOUTHERN REGION,PHALOMBE,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,1534
SOUTHERN REGION,PHALOMBE,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,572
SOUTHERN REGION,PHALOMBE,Prof. John CHISI,UP,#948A54,320
SOUTHERN REGION,PHALOMBE,Friday Anderson JUMBE,NLP,#948A54,268
SOUTHERN REGION,PHALOMBE,Aaron Davies Chester KATSONGA,CCP,#975D2A,140
SOUTHERN REGION,PHALOMBE,Mark KATSONGA PHIRI,PPM,#C00000,345
SOUTHERN REGION,PHALOMBE,Atupele MULUZI,UDF,#FCF600,9040
SOUTHERN REGION,PHALOMBE,Prof. Peter MUTHARIKA,DPP,#00B0F0,103791
SOUTHERN REGION,PHALOMBE,George NNENSA,MAFUNDE,#948A54,558
SOUTHERN REGION,PHALOMBE,James Mbowe NYONDO,NASAF,#948A54,179
SOUTHERN REGION,PHALOMBE,Abusa Helen SINGH,UIP,#948A54,202
SOUTHERN REGION,MULANJE,Dr. Joyce Hilda BANDA,PP,#FF6400,20018
SOUTHERN REGION,MULANJE,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,3076
SOUTHERN REGION,MULANJE,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,592
SOUTHERN REGION,MULANJE,Prof. John CHISI,UP,#948A54,446
SOUTHERN REGION,MULANJE,Friday Anderson JUMBE,NLP,#948A54,303
SOUTHERN REGION,MULANJE,Aaron Davies Chester KATSONGA,CCP,#975D2A,190
SOUTHERN REGION,MULANJE,Mark KATSONGA PHIRI,PPM,#C00000,492
SOUTHERN REGION,MULANJE,Atupele MULUZI,UDF,#FCF600,13041
SOUTHERN REGION,MULANJE,Prof. Peter MUTHARIKA,DPP,#00B0F0,175274
SOUTHERN REGION,MULANJE,George NNENSA,MAFUNDE,#948A54,653
SOUTHERN REGION,MULANJE,James Mbowe NYONDO,NASAF,#948A54,265
SOUTHERN REGION,MULANJE,Abusa Helen SINGH,UIP,#948A54,440
SOUTHERN REGION,CHIKWAWA,Dr. Joyce Hilda BANDA,PP,#FF6400,25872
SOUTHERN REGION,CHIKWAWA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,4410
